id,value,deathSeason,deathEpisode,dead,appearances
 .Cersei Lannister.Unnamed Faith Militant,0,6,10,1,1
 .Cersei Lannister.Unnamed King's Landing citizens,0,6,10,1,1
 .Cersei Lannister.Ser Pounce,1018,7,1,1,1
 .Cersei Lannister.Tyene Sand,699,7,3,1,7
 .Cersei Lannister.Tyene Sand.Areo Hotah,368,6,1,1,6
 .Cersei Lannister.Tyene Sand.Caleotte,118,6,1,1,1
 .Cersei Lannister.Tyene Sand.Unnamed Greyjoy men,0,7,2,1,1
 .Cressen,165,2,1,1,1
 .Daario Naharis,577,0,0,0,21
 .Daario Naharis.Akho,5,6,4,1,2
 .Daario Naharis.Iggo,373,6,4,1,1
 .Daario Naharis.Mero,536,3,8,1,1
 .Daario Naharis.Mossador,564,5,2,1,3
 .Daario Naharis.Mossador.Son of the Harpy,726,5,2,1,1
 .Daario Naharis.Oznak zo Pahl,620,4,3,1,1
 .Daario Naharis.Prendahl na Ghezn,297,3,8,1,1
 .Daario Naharis.Sons of the Harpy,0,5,9,1,1
 .Daario Naharis.Unnamed Sons of the Harpy,0,6,9,1,1
 .Daario Naharis.Yunkai soldiers,0,3,9,1,1
 .Daenerys Targaryen,792,0,0,0,49
 .Daenerys Targaryen.Brozho,112,6,4,1,1
 .Daenerys Targaryen.Doreah,192,2,10,1,11
 .Daenerys Targaryen.Doreah.Irri,379,2,6,1,13
 .Daenerys Targaryen.Drogo,198,1,10,1,10
 .Daenerys Targaryen.Drogo.Mago,503,1,8,1,2
 .Daenerys Targaryen.Drogo.Viserys Targaryen,810,1,6,1,5
 .Daenerys Targaryen.Forzho,256,6,4,1,1
 .Daenerys Targaryen.Great Master 2,317,4,4,1,1
 .Daenerys Targaryen.Mirri Maz Duur,207,1,10,1,3
 .Daenerys Targaryen.Mirri Maz Duur.Rhaego,665,1,10,1,1
 .Daenerys Targaryen.Mirri Maz Duur.The red,1006,1,9,1,6
 .Daenerys Targaryen.Moro,559,6,4,1,3
 .Daenerys Targaryen.Moro's bloodrider 1,560,6,4,1,3
 .Daenerys Targaryen.Moro's bloodrider 2,561,6,4,1,3
 .Daenerys Targaryen.Pyat Pree,632,2,10,1,4
 .Daenerys Targaryen.Pyat Pree.Copper King,152,2,7,1,2
 .Daenerys Targaryen.Pyat Pree.Other Thirteen members,832,2,7,1,3
 .Daenerys Targaryen.Pyat Pree.Silk King,717,2,7,1,3
 .Daenerys Targaryen.Pyat Pree.Spice King,728,2,7,1,3
 .Daenerys Targaryen.Qorro,1005,6,4,1,1
 .Daenerys Targaryen.Rhalko,666,6,4,1,1
 .Daenerys Targaryen.Unnamed Khals,0,6,4,1,1
 .Daenerys Targaryen.Wineseller,938,1,7,1,1
 .Daenerys Targaryen.Xaro Xhoan Daxos,948,2,10,1,5
 .Despondent man,184,5,3,1,0
 .Drogon,199,0,0,0,19
 .Drogon.Kraznys mo Nakloz,579,3,4,1,3
 .Drogon.Lannister spearman,1007,7,4,1,1
 .Drogon.Sons of the Harpy,0,5,9,1,1
 .Drogon.Unnamed Slaver's fleet,0,6,9,1,1
 .Drogon.Zalla,961,4,10,1,0
 .Drogon.Unnamed Lannister/Tarly men,0,7,4,1,1
 .Drogon.Randyll Tarly,815,7,5,1,5
 .Drogon.Dickon Tarly,813,7,5,1,5
 .Drogon.Dickon Tarly.Unnamed Dothraki,0,7,4,1,1
 .Drogon.Wights,0,7,6,1,1
